I main, am - 140190884325184, my priority - 8!
-F- Hi! I am F threed 1, - 140190875928320!
-F- I F threed 1, - 140190875928320! Goodbye!
-P- Hi! I am P threed 1, - 140190867535616!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-X- Hi! I am exit threed! I wait 140190884325184!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- Hi! I am P threed 2, - 140190859142912!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 2, -nomer potoka 140190859142912, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 2, -nomer potoka 140190859142912, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 2, -nomer potoka 140190859142912, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- Hi! I am P threed 3, - 140190850750208!
-P- I am 3, -nomer potoka 140190850750208, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 2, -nomer potoka 140190859142912, my priority - 13!
-P- I am 3, -nomer potoka 140190850750208, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 3, -nomer potoka 140190850750208, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 2, -nomer potoka 140190859142912, my priority - 13!
-P- I am 3, -nomer potoka 140190850750208, my priority - 13!
-P- I am 3, -nomer potoka 140190850750208, my priority - 13!
-P- Hi! I am P threed 4, - 140190842357504!
-P- I am 4, -nomer potoka 140190842357504, my priority - 13!
-P- I am 3, -nomer potoka 140190850750208, my priority - 13!
-P- I am 4, -nomer potoka 140190842357504, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 2, -nomer potoka 140190859142912, my priority - 13!
-P- I am 3, -nomer potoka 140190850750208, my priority - 13!
-P- I am 3, -nomer potoka 140190850750208, my priority - 13!
-P- I am 4, -nomer potoka 140190842357504, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
-P- I am 2, -nomer potoka 140190859142912, my priority - 13!
-P- I am 2, -nomer potoka 140190859142912, my priority - 13!
-P- I am 3, -nomer potoka 140190850750208, my priority - 13!
-P- I am 4, -nomer potoka 140190842357504, my priority - 13!
-P- I am 1, -nomer potoka 140190867535616, my priority - 13!
